patient id,name,hotel_name,country of origin,review_text,rating,nights_of_stay
1,James,The Grand Resort Hotel,USA,The staff was incredibly friendly and helpful. The breakfast buffet had a wide variety of delicious options.,9.5,5
2,Mary,The Grand Resort Hotel,UK,"The room was spacious, clean, and had a beautiful view. The Wi-Fi in the room was a bit slow at times.",8.2,3
3,John,The Grand Resort Hotel,Canada,The pool area was stunning and very relaxing. The bed was one of the most comfortable I've ever slept in. The check-in process was a little slow.,7.8,7
4,Patricia,The Grand Resort Hotel,Australia,"The location is perfect, right on the beach.",9.8,2
5,Robert,The Grand Resort Hotel,Germany,The concierge gave us some excellent recommendations for local restaurants. A truly luxurious experience from start to finish.,9.9,10
6,Jennifer,The Grand Resort Hotel,France,The spa services were top-notch. The prices at the hotel bar were quite high.,7.5,4
7,Michael,The Grand Resort Hotel,Spain,We will definitely be coming back here on our next trip. The air conditioning was a little noisy.,8.1,6
8,Linda,The Grand Resort Hotel,Italy,"The staff was incredibly friendly and helpful. The room was spacious, clean, and had a beautiful view. The walls were a bit thin, and we could hear our neighbors.",7.2,1
9,William,The Grand Resort Hotel,Japan,The breakfast buffet had a wide variety of delicious options. The pool area was stunning and very relaxing.,9.6,9
10,Elizabeth,The Grand Resort Hotel,China,"The location is perfect, right on the beach. The minibar was not restocked daily.",8.0,3
11,James,The Grand Resort Hotel,USA,The bed was one of the most comfortable I've ever slept in. The gym was a bit small and crowded.,7.9,8
12,Mary,The Grand Resort Hotel,UK,The spa services were top-notch. A truly luxurious experience from start to finish.,9.7,2
13,John,The Grand Resort Hotel,Canada,The staff was incredibly friendly and helpful. The elevators were often busy.,8.4,11
14,Patricia,The Grand Resort Hotel,Australia,"The room was spacious, clean, and had a beautiful view. The TV in the room didn't have many channels.",7.6,1
15,Robert,The Grand Resort Hotel,Germany,The breakfast buffet had a wide variety of delicious options. The pool area was stunning and very relaxing. The prices at the hotel bar were quite high.,8.8,12
16,Jennifer,The Grand Resort Hotel,France,"The location is perfect, right on the beach. The check-in process was a little slow.",8.3,5
17,Michael,The Grand Resort Hotel,Spain,The concierge gave us some excellent recommendations for local restaurants. The air conditioning was a little noisy.,7.7,7
18,Linda,The Grand Resort Hotel,Italy,"The bed was one of the most comfortable I've ever slept in. The walls were a bit thin, and we could hear our neighbors.",7.1,3
19,William,The Grand Resort Hotel,Japan,The spa services were top-notch. The minibar was not restocked daily.,8.5,10
20,Elizabeth,The Grand Resort Hotel,China,A truly luxurious experience from start to finish. The gym was a bit small and crowded.,8.2,4
21,James,The Grand Resort Hotel,USA,The staff was incredibly friendly and helpful. The elevators were often busy.,8.6,6
22,Mary,The Grand Resort Hotel,UK,"The room was spacious, clean, and had a beautiful view. The TV in the room didn't have many channels.",7.8,1
23,John,The Grand Resort Hotel,Canada,The breakfast buffet had a wide variety of delicious options. The prices at the hotel bar were quite high.,8.9,13
24,Patricia,The Grand Resort Hotel,Australia,The pool area was stunning and very relaxing. The check-in process was a little slow.,8.7,2
25,Robert,The Grand Resort Hotel,Germany,"The location is perfect, right on the beach. The air conditioning was a little noisy.",8.0,14
26,Jennifer,The Grand Resort Hotel,France,"The concierge gave us some excellent recommendations for local restaurants. The walls were a bit thin, and we could hear our neighbors.",7.3,6
27,Michael,The Grand Resort Hotel,Spain,The bed was one of the most comfortable I've ever slept in. The minibar was not restocked daily.,8.1,8
